nombre|lat|lon
El Triunfo|-2.2907784|-79.3660575197123
Durán|-2.215207|-79.7903725123108
Guayaquil|-2.1899066|-79.887726
Playas|-2.6356397|-80.3913928
Naranjal|-2.5731305|-79.5325633959898
Balao|-2.88525165|-79.7180498428229
Santa Elena|-2.1954593|-80.5669167
La Libertad|-0.2209692|-78.5253239
Salinas|-2.2073132|-80.9684566
La Troncal|-2.433689|-79.3751632252655
Cañar|-2.574484|-78.9804678
Suscal|-2.4378607|-79.0511208
El Tambo|-2.48280785|-78.9124904150334
Azogues|-2.63172915|-78.7008934064092
Biblián|-2.7101694|-78.8908362
Déleg|-2.7652918|-78.9300169745813
Sevilla de Oro|-2.7051608|-78.6014387016541
Paute|-2.7461213|-78.7364807424428
Guachapala|-2.76681085|-78.7113488321396
El Pan|-2.83830715|-78.6539290478538
Gualaceo|-2.9179486|-78.8461880140753
Chordeleg|-2.98446755|-78.7307217577724
Sígsig|-3.13308835|-78.8733115387591
Cuenca|-2.8973745|-79.0044518
Santa Isabel|-3.1839392|-79.3594117719649
Pucará|-3.1748913|-79.514712723913
Camilo Ponce Enríquez|-2.96406955|-79.5630363473857
San Fernando|-3.1398718|-79.2794840907109
Girón|-3.1728573|-79.1241595798571
Nabón|-3.33282635|-79.0996575205106
Oña|-3.49630835|-79.1092822740485
El Guabo|-3.2413487|-79.8296713
Machala|-3.2587494|-79.9595133
Pasaje|-0.253255|-79.167726
Chilla|-3.4584322|-79.5809951
Zaruma|-3.50855405|-79.5108420957504
Santa Rosa|-3.41455385|-80.1549039658861
Atahualpa|-3.5572055|-79.7098882225052
Arenillas|-3.57396445|-80.0986007104956
Huaquillas|-3.45925155|-80.1820737271825
Las Lajas|-3.7848952|-80.0636021
Marcabelí|-3.7844549|-79.9113661
Balsas|-3.7742179|-79.8310960432725
Piñas|-3.71088185|-79.7837851533668
Portovelo|-3.7154781|-79.6167189
Saraguro|-3.6224722|-79.2384881
Loja|-4.0528506|-79.8053425
Chaguarpamba|-3.876542|-79.6446609
Olmedo (Loja)|-3.9345786|-79.6468514
Catamayo|-3.9911481|-79.4038821570871
Paltas|-4.0026163|-79.7006645141133
Puyango|-3.96534605|-80.073541407174
Pindal|-4.1150962|-80.1079721
Celica|-4.16481365|-79.9851761755119
Zapotillo|-4.2334403|-80.2893109657604
Macará|-4.3490568|-79.9161416249543
Sozoranga|-4.3268672|-79.7902815
Calvas|-4.4799894|-79.51516
Gonzanamá|-4.2302729|-79.4365638
Quilanga|-4.297155|-79.401265
Espíndola|-4.3268185|-79.5525718
Yacuambi|-2.1349894|-79.8960421
Yantzaza|-3.71468115|-78.7376344463973
El Pangui|-3.625|-78.5869441
Zamora|-4.0042008|-78.9577754191094
Centinela del Cóndor|-0.74796|-79.19933
Paquisha|-3.9336811|-78.6757723
Nangaritza|-4.0604355|-78.963136
Palanda|-4.6498277|-79.1318589
Chinchipe|-4.8536233|-79.1377245683016
Isabela|-2.8959964|-79.0193947
San Cristóbal|-0.9151226|-89.5662955
Santa Cruz|-0.62881505|-90.3638752022324
